,timestamp,text,permission_processing,permission_sharing,language_code,topics
0,10/07/2026 10:36:26,"Moet een designer ""democratisch"" zijn ? Want, met te veel inspraak in de vormgeving, wordt het ontwerp wellicht te mainstream...??",Ja,Ja,nl,"[""museums_democracy"", ""direct_democracy""]"
1,10/07/2026 10:36:26,"Does a designer have to be ""democratic""? Because with too much input into the design, the design might become too mainstream...??",Ja,Ja,en,"[""museums_democracy"", ""direct_democracy""]"
2,10/07/2026 10:36:26,"Un designer doit-il être « démocratique » ? Car avec trop de participation dans la conception, le design risque de devenir trop mainstream...??",Ja,Ja,fr,"[""museums_democracy"", ""direct_democracy""]"
3,30/07/2026 09:29:35,De laatste keer dat ik geweend heb was,Ja,Ja,nl,"[""everyday_democracy""]"
4,30/07/2026 09:29:35,The last time I cried was,Ja,Ja,en,"[""everyday_democracy""]"
5,30/07/2026 09:29:35,"La dernière fois que j'ai pleuré, c'était",Ja,Ja,fr,"[""everyday_democracy""]"
6,30/07/2026 23:26:37,"Gaat democratie, de processen en machtsverhoudingen daarin, nog aanzienlijk veranderen in de toekomst? Bijvoorbeeld door de invloed van AI of de klimaatcrisis.",Ja,Ja,nl,"[""what_is_democracy"", ""ecocracy""]"
7,30/07/2026 23:26:37,"Will democracy, and the processes and power relations within it, still change significantly in the future? For example through the influence of AI or the climate crisis.",Ja,Ja,en,"[""what_is_democracy"", ""ecocracy""]"
8,30/07/2026 23:26:37,"La démocratie, ses processus et les rapports de force qui la traversent, vont-ils encore changer de manière significative à l'avenir ? Par exemple sous l'influence de l'IA ou de la crise climatique.",Ja,Ja,fr,"[""what_is_democracy"", ""ecocracy""]"
9,31/07/2026 09:40:46,Democratie werkt enkel als...,Ja,Ja,nl,"[""what_is_democracy""]"
10,31/07/2026 09:40:46,Democracy only works if...,Ja,Ja,en,"[""what_is_democracy""]"
11,31/07/2026 09:40:46,La démocratie ne fonctionne que si...,Ja,Ja,fr,"[""what_is_democracy""]"
12,31/07/2026 09:51:18,Hoe kunnen we vermijden dat er anti-democratische leiders op democratische wijze verkozen worden? ,Ja,Ja,nl,"[""what_is_democracy"", ""exclusion_disillusion""]"
13,31/07/2026 09:51:18,How can we avoid anti-democratic leaders being elected in a democratic way?,Ja,Ja,en,"[""what_is_democracy"", ""exclusion_disillusion""]"
14,31/07/2026 09:51:18,Comment pouvons-nous éviter que des dirigeants anti-démocratiques soient élus de manière démocratique ?,Ja,Ja,fr,"[""what_is_democracy"", ""exclusion_disillusion""]"
15,31/07/2026 09:53:09,Zal de liberale democratie de 21ste eeuw overleven? ,Ja,Ja,nl,"[""what_is_democracy""]"
16,31/07/2026 09:53:09,Will liberal democracy survive the 21st century?,Ja,Ja,en,"[""what_is_democracy""]"
17,31/07/2026 09:53:09,La démocratie libérale survivra-t-elle au 21e siècle ?,Ja,Ja,fr,"[""what_is_democracy""]"
18,31/07/2026 10:02:07,"Als jij premier bent, wat is je eerste voorstel?",Ja,Ja,nl,"[""belgian_democracy"", ""direct_democracy""]"
19,31/07/2026 10:02:07,"If you were prime minister, what would be your first proposal?",Ja,Ja,en,"[""belgian_democracy"", ""direct_democracy""]"
20,31/07/2026 10:02:07,"Si vous étiez premier ministre, quelle serait votre première proposition ?",Ja,Ja,fr,"[""belgian_democracy"", ""direct_democracy""]"
21,31/07/2026 10:11:22,Als het water in onze stad een stem zou hebben - wat zou zij dan zeggen? ,Ja,Ja,nl,"[""ecocracy""]"
22,31/07/2026 10:11:22,"If the water in our city had a voice, what would it say?",Ja,Ja,en,"[""ecocracy""]"
23,31/07/2026 10:11:22,"Si l'eau de notre ville avait une voix, que dirait-elle ?",Ja,Ja,fr,"[""ecocracy""]"
24,31/07/2026 10:11:55,Als de bomen de macht hadden - welke keuzes zouden zij voor ons maken? ,Ja,Ja,nl,"[""ecocracy""]"
25,31/07/2026 10:11:55,"If the trees had the power, what choices would they make for us?",Ja,Ja,en,"[""ecocracy""]"
26,31/07/2026 10:11:55,"Si les arbres avaient le pouvoir, quels choix feraient-ils pour nous ?",Ja,Ja,fr,"[""ecocracy""]"
27,31/07/2026 10:13:17,"Als 30% van de bevolking (zij die onze stad bewonen en ze mee maken) studenten zijn, zou het dan niet beter zijn als zij ook bij beslissingen mee mogen bepalen wat de keuzes zijn? ",Ja,Ja,nl,"[""direct_democracy"", ""exclusion_disillusion"", ""everyday_democracy""]"
28,31/07/2026 10:13:17,"If 30% of the population (those who live in our city and help shape it) are students, wouldn't it be better if they too had a say in what the choices are?",Ja,Ja,en,"[""direct_democracy"", ""exclusion_disillusion"", ""everyday_democracy""]"
29,31/07/2026 10:13:17,"Si 30 % de la population (celles et ceux qui habitent notre ville et la façonnent) sont des étudiants, ne serait-il pas préférable qu'ils aient eux aussi leur mot à dire dans les décisions ?",Ja,Ja,fr,"[""direct_democracy"", ""exclusion_disillusion"", ""everyday_democracy""]"
30,31/07/2026 10:15:02,Hoe zou het zijn mocht bij elke stemming er ook een aantal stemmen gegeven worden aan 'de toekomst' - een vertegenwoordiging van het belang van zij die twee of drie generaties na ons komen? ,Ja,Ja,nl,"[""direct_democracy"", ""ecocracy"", ""what_is_democracy""]"
31,31/07/2026 10:15:02,"What would it be like if, in every vote, a number of votes were also given to ""the future"" - a representation of the interests of those who come two or three generations after us?",Ja,Ja,en,"[""direct_democracy"", ""ecocracy"", ""what_is_democracy""]"
32,31/07/2026 10:15:02,"Qu'en serait-il si, à chaque vote, un certain nombre de voix étaient également accordées à « l'avenir » - une représentation des intérêts de ceux qui viendront deux ou trois générations après nous ?",Ja,Ja,fr,"[""direct_democracy"", ""ecocracy"", ""what_is_democracy""]"
33,31/07/2026 10:16:18,Wat moeten we het meest subsidiëren in oorlogstijd - de wapenindustrie of de cultuursector?,Ja,Ja,nl,"[""museums_democracy"", ""belgian_democracy""]"
34,31/07/2026 10:16:18,What should we subsidize most in wartime - the arms industry or the cultural sector?,Ja,Ja,en,"[""museums_democracy"", ""belgian_democracy""]"
35,31/07/2026 10:16:18,Que devrions-nous subventionner le plus en temps de guerre : l'industrie de l'armement ou le secteur culturel ?,Ja,Ja,fr,"[""museums_democracy"", ""belgian_democracy""]"
36,31/07/2026 10:16:43,Ik ben vandaag het meest dankbaar voor.... ,Ja,Ja,nl,"[""everyday_democracy""]"
37,31/07/2026 10:16:43,Today I am most grateful for....,Ja,Ja,en,"[""everyday_democracy""]"
38,31/07/2026 10:16:43,"Aujourd'hui, je suis le plus reconnaissant pour....",Ja,Ja,fr,"[""everyday_democracy""]"
39,31/07/2026 10:17:02,Ik ben vandaag het meest ongerust over .... ,Ja,Ja,nl,"[""everyday_democracy""]"
40,31/07/2026 10:17:02,Today I am most worried about....,Ja,Ja,en,"[""everyday_democracy""]"
41,31/07/2026 10:17:02,"Aujourd'hui, ce qui m'inquiète le plus, c'est....",Ja,Ja,fr,"[""everyday_democracy""]"
42,31/07/2026 10:17:33,Ik moest recent nog glimlachen bij ...,Ja,Ja,nl,"[""everyday_democracy""]"
43,31/07/2026 10:17:33,Recently I smiled at...,Ja,Ja,en,"[""everyday_democracy""]"
44,31/07/2026 10:17:33,"Récemment, j'ai encore souri en pensant à...",Ja,Ja,fr,"[""everyday_democracy""]"
45,01/08/2026 10:35:38,"Gezien de voortdurende veranderingen in de samenleving, hoe kan de democratie zich aanpassen om onze rechten en democratische waarden en normen te beschermen?",Ja,Ja,nl,"[""what_is_democracy""]"
46,01/08/2026 10:35:38,"Given the continuous changes in society, how can democracy adapt to protect our rights and democratic values and norms?",Ja,Ja,en,"[""what_is_democracy""]"
47,01/08/2026 10:35:38,"Face aux changements continus de la société, comment la démocratie peut-elle s'adapter pour protéger nos droits ainsi que nos valeurs et normes démocratiques ?",Ja,Ja,fr,"[""what_is_democracy""]"
48,04/08/2026 22:16:40,Wat zou er in jouw leven veranderen als er plotseling geen democratie meer is,Ja,Ja,nl,"[""everyday_democracy"", ""what_is_democracy""]"
49,04/08/2026 22:16:40,What would change in your life if democracy suddenly no longer existed,Ja,Ja,en,"[""everyday_democracy"", ""what_is_democracy""]"
50,04/08/2026 22:16:40,Qu'est-ce qui changerait dans votre vie si la démocratie n'existait soudainement plus,Ja,Ja,fr,"[""everyday_democracy"", ""what_is_democracy""]"
51,04/08/2026 22:21:06,Democratie zorgt ervoor dat beslissingen veel te lang worden uitgesteld door al het overleg. Democratie moet daarom dringend aan banden worden gelegd.,Ja,Ja,nl,"[""what_is_democracy"", ""exclusion_disillusion""]"
52,04/08/2026 22:21:06,Democracy causes decisions to be postponed for far too long because of all the deliberation. Democracy must therefore urgently be curtailed.,Ja,Ja,en,"[""what_is_democracy"", ""exclusion_disillusion""]"
53,04/08/2026 22:21:06,La démocratie fait que les décisions sont reportées bien trop longtemps à cause de toutes ces concertations. La démocratie doit donc être limitée de toute urgence.,Ja,Ja,fr,"[""what_is_democracy"", ""exclusion_disillusion""]"
